Dato + Tid,Volum,Globalstraling,Solskinstid,Lufttemperatur,Hour,isWeekday,Month
2015-07-16 16:00:00,107.0,432.8333333333333,48.7,13.733333333333334,16,1,7
2015-07-16 17:00:00,84.0,378.40000000000003,60.0,13.866666666666667,17,1,7
2015-07-16 18:00:00,57.0,212.58333333333334,60.0,13.216666666666667,18,1,7
2015-07-16 19:00:00,49.0,79.75,60.0,12.683333333333332,19,1,7
2015-07-16 20:00:00,45.0,10.633333333333333,36.0,12.066666666666668,20,1,7
2015-07-16 21:00:00,25.0,-0.8666666666666667,0.0,11.35,21,1,7
2015-07-16 22:00:00,26.0,-1.9166666666666667,0.0,10.616666666666667,22,1,7
2015-07-16 23:00:00,16.0,-1.8833333333333335,0.0,10.15,23,1,7
2015-07-17 00:00:00,6.0,-1.6833333333333333,0.0,9.733333333333333,0,1,7
2015-07-17 01:00:00,7.0,-1.2166666666666666,0.0,8.9,1,1,7
2015-07-17 02:00:00,1.0,0.5333333333333333,0.0,8.466666666666667,2,1,7
2015-07-17 03:00:00,3.0,11.5,0.0,8.233333333333333,3,1,7
2015-07-17 04:00:00,5.0,64.85000000000001,22.7,8.533333333333333,4,1,7
2015-07-17 05:00:00,5.0,218.20000000000002,60.0,10.833333333333334,5,1,7
2015-07-17 06:00:00,38.0,331.43333333333334,60.0,12.466666666666667,6,1,7
2015-07-17 07:00:00,95.0,439.5,60.0,14.35,7,1,7
2015-07-17 08:00:00,78.0,567.2666666666667,60.0,15.633333333333333,8,1,7
2015-07-17 09:00:00,45.0,688.0500000000001,60.0,15.983333333333334,9,1,7
2015-07-17 10:00:00,39.0,709.6333333333333,60.0,16.566666666666666,10,1,7
2015-07-17 11:00:00,48.0,716.5666666666666,59.7,17.833333333333332,11,1,7
2015-07-17 12:00:00,56.0,551.7333333333332,53.3,17.983333333333334,12,1,7
2015-07-17 13:00:00,76.0,462.7166666666667,24.599999999999998,17.599999999999998,13,1,7
2015-07-17 14:00:00,76.0,348.1666666666667,5.3,17.8,14,1,7
2015-07-17 15:00:00,130.0,222.9,0.0,17.733333333333334,15,1,7
2015-07-17 16:00:00,108.0,142.65,0.0,17.216666666666665,16,1,7
2015-07-17 17:00:00,65.0,71.35000000000001,0.0,17.066666666666666,17,1,7
2015-07-17 18:00:00,46.0,39.21666666666667,0.0,16.733333333333334,18,1,7
2015-07-17 19:00:00,48.0,7.1000000000000005,0.0,14.6,19,1,7
2015-07-17 20:00:00,19.0,0.85,0.0,14.066666666666668,20,1,7
2015-07-17 21:00:00,20.0,0.8833333333333333,0.0,12.933333333333332,21,1,7
2015-07-17 22:00:00,13.0,10.85,0.0,11.616666666666667,22,1,7
2015-07-17 23:00:00,13.0,14.5,0.0,11.233333333333334,23,1,7
