Dato + Tid,Volum,Globalstraling,Solskinstid,Lufttemperatur,Hour,isWeekday,Month
2022-01-01 00:00:00,,-0.39999999999999997,0.0,3.016666666666667,0,0,1
2022-01-01 01:00:00,,-0.15,0.0,2.6666666666666665,1,0,1
2022-01-01 02:00:00,,-0.3,0.0,2.3166666666666664,2,0,1
2022-01-01 03:00:00,,-0.7000000000000001,0.0,1.7333333333333334,3,0,1
2022-01-01 04:00:00,,-0.6333333333333333,0.0,1.1,4,0,1
2022-01-01 05:00:00,,-0.8666666666666666,0.0,0.35000000000000003,5,0,1
2022-01-01 06:00:00,,-1.3166666666666667,0.0,0.9833333333333334,6,0,1
2022-01-01 07:00:00,,-0.26666666666666666,0.0,2.716666666666667,7,0,1
2022-01-01 08:00:00,,0.35000000000000003,0.0,3.8000000000000003,8,0,1
2022-01-01 09:00:00,,4.866666666666666,0.0,4.75,9,0,1
2022-01-01 10:00:00,,9.616666666666667,0.0,5.3999999999999995,10,0,1
2022-01-01 11:00:00,,20.150000000000002,0.0,5.733333333333333,11,0,1
2022-01-01 12:00:00,,16.25,0.0,7.016666666666667,12,0,1
2022-01-01 13:00:00,,11.133333333333333,0.0,8.1,13,0,1
2022-01-01 14:00:00,,4.116666666666666,0.0,9.233333333333333,14,0,1
2022-01-01 15:00:00,,1.2333333333333332,0.0,8.6,15,0,1
2022-01-01 16:00:00,,0.5,0.0,8.183333333333332,16,0,1
2022-01-01 17:00:00,,0.3,0.0,8.433333333333334,17,0,1
2022-01-01 18:00:00,,0.6333333333333333,0.0,8.366666666666667,18,0,1
2022-01-01 19:00:00,,0.4333333333333333,0.0,8.233333333333333,19,0,1
2022-01-01 20:00:00,,0.9,0.0,8.716666666666667,20,0,1
2022-01-01 21:00:00,,1.1333333333333335,0.0,9.066666666666666,21,0,1
2022-01-01 22:00:00,,1.25,0.0,9.366666666666667,22,0,1
2022-01-01 23:00:00,,1.3666666666666665,0.0,9.466666666666667,23,0,1
2022-01-02 00:00:00,,0.6833333333333332,0.0,9.15,0,0,1
2022-01-02 01:00:00,,0.39999999999999997,0.0,8.683333333333334,1,0,1
2022-01-02 02:00:00,,0.16666666666666666,0.0,8.316666666666668,2,0,1
2022-01-02 03:00:00,,0.13333333333333333,0.0,8.166666666666666,3,0,1
2022-01-02 04:00:00,,0.10000000000000002,0.0,8.049999999999999,4,0,1
2022-01-02 05:00:00,,0.15,0.0,8.333333333333334,5,0,1
2022-01-02 06:00:00,,0.2333333333333333,0.0,8.016666666666667,6,0,1
2022-01-02 07:00:00,,0.48333333333333334,0.0,8.0,7,0,1
2022-01-02 08:00:00,,1.0,0.0,7.8,8,0,1
2022-01-02 09:00:00,,7.76,0.0,7.6499999999999995,9,0,1
2022-01-02 10:00:00,,19.583333333333332,0.0,7.516666666666667,10,0,1
2022-01-02 11:00:00,,26.74,0.0,7.416666666666667,11,0,1
2022-01-02 12:00:00,,31.6,0.0,7.45,12,0,1
2022-01-02 13:00:00,,10.200000000000001,0.0,7.333333333333333,13,0,1
2022-01-02 14:00:00,,5.05,0.0,7.44,14,0,1
2022-01-02 15:00:00,,0.85,0.0,7.466666666666666,15,0,1
2022-01-02 16:00:00,,0.5166666666666667,0.0,7.433333333333334,16,0,1
2022-01-02 17:00:00,,0.43333333333333335,0.0,7.3500000000000005,17,0,1
2022-01-02 18:00:00,,0.03333333333333333,0.0,6.816666666666666,18,0,1
